id,structure_order,q1,q2,q3,q4,q5,q6,q7,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long,sibling_group
GOP343,107,0.8222,0.001,0.0172,0.0017,0.0842,0.0722,0.0017,0.235741445,1.015983926,1.046609782,-0.033936476,0.641024407,LODDON_PYRAMID,NA,515,17/4/2018,12,loddon,NO,-35.77825,144.07129,NA
GOP344,108,0.4964,0.3563,0.0137,0.0038,0.1112,0.0133,0.0052,0.237206086,1.02300482,1.053843558,-0.037463718,0.63241365,LODDON_PYRAMID,NA,312,18/4/2018,2,hatchery,YES,-35.4933,143.81903,NA
GOP345,109,0.4917,0.4986,0.001,0.0012,0.0022,0.002,0.0033,0.233483224,1.00631742,1.036687751,-0.024857825,0.641178586,LODDON_PYRAMID,NA,350,18/4/2018,2,hatchery,YES,-35.4933,143.81903,NA
GOP348,112,0.98,0.001,0.001,0.0015,0.001,0.014,0.0015,0.220603538,0.951055374,0.979637235,0.006642408,0.653777727,LODDON_PYRAMID,NA,518,16/4/2018,22,mid murray,NO,-35.92336,144.24011,NA
GOP349,113,0.8418,0.0023,0.1258,0.0007,0.0055,0.0208,0.003,0.212508639,0.916995077,0.94385934,0.066051603,0.67615681,LODDON_PYRAMID,NA,464,16/4/2018,9,broken,NO,-35.88594,144.17836,NA
GOP540,299,0.9817,0.002,0.0032,0.0058,0.0018,0.0033,0.0022,0.220613582,0.951692165,0.980265224,0.011202228,0.660364764,LOWER_DARLING,NA,363,1/5/2018,8,lower darling,NO,-32.57198,142.39546,NA
GOP543,302,0.9803,0.0018,0.001,0.002,0.0032,0.0023,0.0093,0.228857439,0.987714319,1.01773185,-0.006627166,0.645479364,LOWER_DARLING,NA,NA,NA,2,NA,,-32.57198,142.39546,NA
GOP544,303,0.9755,0.0017,0.0085,0.001,0.007,0.0043,0.002,0.228136882,0.982608682,1.01210034,-0.021130347,0.643609309,LOWER_DARLING,NA,NA,NA,1,NA,,-32.57198,142.39546,NA
GOP545,304,0.9813,0.002,0.0033,0.0028,0.001,0.0013,0.0082,0.233207027,1.005239296,1.035389561,-0.040871258,0.635735586,LOWER_DARLING,NA,328,1/5/2018,6,lower darling,NO,-32.57198,142.39546,NA
GOP546,305,0.9857,0.0017,0.0015,0.0023,0.0045,0.003,0.0013,0.219041049,0.943550825,0.971997633,0.013560058,0.661197195,LOWER_DARLING,NA,451,1/5/2018,8,lower murray,NO,-32.90602,142.37234,NA
GOP547,306,0.8741,0.004,0.0047,0.004,0.0127,0.077,0.0235,0.225129088,0.970752687,0.999778983,-0.001945369,0.647002972,LOWER_DARLING,NA,390,1/5/2018,10,mid murray,NO,-32.90602,142.37234,NA
GOP548,307,0.6917,0.0018,0.0012,0.2942,0.0012,0.003,0.007,0.227194492,0.979658675,1.008951268,0.005699106,0.653388642,LOWER_DARLING,NA,415,1/5/2018,8,lower darling,NO,-32.90602,142.37234,NA
GOP549,308,0.9502,0.0018,0.0088,0.0038,0.0022,0.0308,0.0023,0.231829142,0.999591558,1.029533666,-0.028698179,0.63417877,LOWER_DARLING,NA,351,1/5/2018,7,lower darling,NO,-32.90602,142.37234,NA
GOP553,312,0.977,0.001,0.0015,0.006,0.009,0.0032,0.0023,0.2311402,0.996255302,1.026108534,-0.017463745,0.644994897,LOWER_DARLING,NA,NA,NA,5,NA,,-33.5923,142.44168,NA
GOP557,316,0.9311,0.0018,0.0368,0.0042,0.0028,0.017,0.0062,0.22862069,0.986039429,1.015747979,-0.004202123,0.649487396,LOWER_DARLING,NA,400,2/5/2018,6,lower darling,NO,-33.5923,142.44168,NA
GOP558,317,0.9365,0.0015,0.0482,0.0035,0.0025,0.004,0.0038,0.212194282,0.914958694,0.942382163,0.052788777,0.674348505,LOWER_DARLING,NA,366,2/5/2018,6,lower darling,NO,-33.38473,142.56163,NA
